Name,type,location,dependants
AppController,controller,app.js,"$scope,$location, $window,Auth,Flash"
UserCtrl,controller,controllers.js,
UserDetailCtrl,controller,controllers.js,
WineListCtrl,controller,controllers.js,
GrapeListCtrl,controller,controllers.js,
WineDetailCtrl,controller,controllers.js,
SearchCtrl,controller,controllers.js,
AuthController,controller,auth.js,
winePic,filter,app.js,
moment,filter,app.js,
fromNow,filter,app.js,
Interceptor400,service,interceptor400.js,
Wine,service,services.js,
Grape,service,services.js,
User,service,services.js,
Auth,service,auth.js,
myHttpInterceptor,service,busy-indicator.js,
Flash,service,flash.js,
